,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
183,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Gastronomy and Kitchen Arts,363.54622,469.14523,85000,2017
184,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Health Management,283.77647,401.83155,407000,2017
185,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,History,268.2774,352.73764,341000,2017
186,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Law,413.73729,451.48999,26200,2017
187,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Map Engineering,268.10574,335.30963,173000,2017
188,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Math,240.55827,270.3638,250000,2017
189,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Mechanical Engineering,274.03493,312.50011,165000,2017
190,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Medicine,461.07302,486.94665,14100,2017
191,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Metallurgy and Materials Engineering,244.98392,258.48657,240000,2017
192,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Nursing,325.48075,425.29656,172000,2017
193,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Pre-school Teaching,389.7295,419.71955,37100,2017
194,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Primary School Math Teaching,343.16792,456.7669,91700,2017
195,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Social Science Teaching,320.78393,384.06146,150000,2017
196,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Sociology,280.95797,325.82995,280000,2017
197,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Teaching,344.89963,393.96813,100000,2017
198,AFYON KOCATEPE UNIVERSITY,DIL,AFYON,Aegean Region,Tourism Guidance,254.04709,406.06735,442000,2017
199,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Language and Literature,300.381,372.15103,225000,2017
200,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Teaching,372.73021,449.17325,71200,2017
201,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Veterinary,326.19685,403.89639,114000,2017
202,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Biomedical Engineering",268.56387,301.85374,228270,2018
203,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Electrical Engineering",266.262,355.00075,234862,2018
204,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,"
Islamic Sciences",317.47694,370.90687,145514,2018
205,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Mechatronic Engineering",259.88538,346.22668,255147,2018
